####################																		
#	DATA INFO																	
#	MScThesis Gabriel Ulrich on genetic architecture of counteradaptation to symbiont-conferred resistance																	
#	Data sheet with information on F2-generation colonies i.e. where the mapping population (recombined males) were mated and retreived afterwards. Colonies consist of a plant with aphids on it to which Lysiphlebus wasps are added. In the end, only colonies where female wasps came from the P-generation colony with ID 1 were used. Colonies were established by adding adult aphids to +/- 10 d old Vicia faba plants and leaving them on the plant for a few days (see dates in the data frame to reconstruct exact timing). After adult aphids were removed, a pair of wasps was added to the plants. Wasps were brought together in the tube ~30 minutes prior to adding them to the plant to facilitate mating.																	
#	Version Nr. 25-04-2019																	
####################																		
#	VARIBALE NAMES																	
#	colony_ID	Unique ID number of the established aphid colony																
#	n_nymphs	Number of nymphs that were counted in the respective aphid colony prior to wasp addition																
#	female_origin	"Origin of the female wasp that was added to the colony (H+ refers to the H76 adapted strain, H- to the ""control"" strain that is adapted to Hamiltonella free aphid clones and numbers refer to colony ID's)"																
#	male_origin	"Origin of the male wasp that was added to the colony (H+ refers to the H76 adapted strain, H- to the ""control"" strain that is adapted to Hamiltonella free aphid clones and numbers refer to colony ID's). In F2-generation colonies, males came from one of the F1 colonies."																
#	date_sown	Date at which the plant was sown																
#	date_aphids_added	Date at which adult aphids were added to reproduce on the plant and start a colony																
#	n_aphids_added	Number of adult aphids that were added to reproduce on the plant and start a colony																
#	date_aphids_removed	Date at which adult aphids were removed to stop reproduction and limit the number of nymphs on the plant																
#	n_aphids_removed	Number of adult aphids that were removed to stop reproduction and limit the number of nymphs on the plant. If this is not in accordance with n_aphids_added, this means that some aphids got lost (usually because they die) or that acidentally more were transferred than planned.																
#	date_wasps_added	Date at which parasitoid wasps were added to the colony to let them reproduce																
#	n_wasps_added	Number of parasitoid wasps that were added to the colony to let them reproduce (always 2, male and female in F2-generation colonies)																
#	date_wasps_removed	Date at which parasitoid wasps were removed from the colony for storage and later DNA analysis																
#	n_females_removed	Number of female parasitoid wasps that were removed from the colony																
#	n_males_removed	Number of male parasitoid wasps that were removed from the colony																
#	female_status	Whether the removed female is alive or dead																
#	male_status	Whether the removed male is alive or dead																
#	female_location	Whether the female was found in the tube or in the plant headspace (i.e. not in the headspace of the plant but in the eppendorf tube)																
#	n_mummies_isolated	Number of mummies that were isolated from the colony for use in subsequent generations																
#	notes	Additional notes																
####################																		
colony_ID	n_nymphs	female_origin	male_origin	date_sown	date_aphids_added	n_aphids_added	date_aphids_removed	n_aphids_removed	date_wasps_added	n_wasps_added	date_wasps_removed	n_females_removed	n_males_removed	female_status	male_status	female_location	n_mummies_isolated	notes
118	NA	H76	51	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
119	NA	H76	54	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
120	NA	H76	51	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	0	NA
121	NA	H76	66	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
122	NA	H76	47	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
123	NA	H76	45	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
124	NA	H76	59	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
125	NA	H76	56	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
126	NA	H76	51	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
127	NA	H76	56	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
128	NA	H76	51	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
129	NA	H76	59	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
130	NA	H76	56	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
131	NA	H76	54	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
132	NA	H76	47	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
133	NA	H76	54	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
134	NA	H76	59	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
135	NA	H76	54	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
136	NA	H76	54	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
137	NA	H76	56	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	0	NA
138	NA	H76	61	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
139	NA	H76	54	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
140	NA	H76	54	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
141	NA	H76	51	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	12	NA
142	NA	H76	56	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
143	NA	H76	51	27.02.2019	08.03.2019	4	11.03.2019	NA	11.03.2019	2	NA	0	1	NA	alive	NA	16	NA
