####################																				
#	DATA INFO																			
#	MScThesis Gabriel Ulrich on genetic architecture of counteradaptation to symbiont-conferred resistance																			
#	Data sheet with information on F3-generation colonies i.e. phenotyping data. Colonies consist of a plant with aphids on it to which Lysiphlebus wasps are added. In the end, only colonies where female wasps came from the P-generation colony with ID 1 were used. Colonies were established by adding adult aphids to +/- 10 d old Vicia faba plants and leaving them on the plant for a few days (see dates in the data frame to reconstruct exact timing). After adult aphids were removed, a pair of female wasps that originated from the same F2 colony was added to the plants.																			
#	Version Nr. 25-04-2019																			
####################																				
#	VARIBALE NAMES																			
#	colony_ID	Unique ID number of the established aphid colony																		
#	n_nymphs	Number of nymphs that were counted in the respective aphid colony prior to wasp addition																		
#	female_origin	"Origin of the female wasp that was added to the colony (H+ refers to the H76 adapted strain, H- to the ""control"" strain that is adapted to Hamiltonella free aphid clones and numbers refer to colony ID's)"																		
#	male_origin	"Origin of the male wasp that was added to the colony (H+ refers to the H76 adapted strain, H- to the ""control"" strain that is adapted to Hamiltonella free aphid clones and numbers refer to colony ID's). In F3-generation colonies, no males were added."																		
#	date_sown	Date at which the plant was sown																		
#	date_aphids_added	Date at which adult aphids were added to reproduce on the plant and start a colony																		
#	n_aphids_added	Number of adult aphids that were added to reproduce on the plant and start a colony																		
#	date_aphids_removed	Date at which adult aphids were removed to stop reproduction and limit the number of nymphs on the plant																		
#	n_aphids_removed	Number of adult aphids that were removed to stop reproduction and limit the number of nymphs on the plant. If this is not in accordance with n_aphids_added, this means that some aphids got lost (usually because they die) or that acidentally more were transferred than planned.																		
#	date_wasps_added	Date at which parasitoid wasps were added to the colony to let them reproduce																		
#	n_wasps_added	Number of parasitoid wasps that were added to the colony to let them reproduce (always 2 sister females in F3-generation colonies)																		
#	date_wasps_removed	Date at which parasitoid wasps were removed from the colony to standardize reproduction and maybe analyse DNA																		
#	n_females_removed	Number of female parasitoid wasps that were removed from the colony																		
#	n_males_removed	Number of male parasitoid wasps that were removed from the colony																		
#	female_status	Whether the removed female(s) is (are) alive or dead. aa: both alive, a: one alive, aD: one alive one dead																		
#	male_status	Whether the removed male is alive or dead (no males were added, no males were removed)																		
#	female_location	Whether the female(s) was (were) found in the tube or in the plant headspace (i.e. not in the headspace of the plant but in the eppendorf tube). PP: both in the plant headspace, PT one in the tube one in the headspace, TT both in the tube, T only one found but in the tube, P only one found but in the plant headspace																		
#	n_offspring	Number of offspring wasps that were counted in the dried colonies																		
#	n_mummies	Number of mummies that were counted in the dried colonies (including hatched and unchatched mummies)																		
#	n_mummies_unhatched	Number of unhatched mummies that were counted in the dried colonies (this is included in n_mummies)																		
#	notes	"Additional notes. The difference between ""second wasp not found"" and  ""1 wasp missing"": If during removal of wasps on the date [date_wasps_removed] a wasp that should be there was not found, ""second wasp not found"" was written. If during counting the dried colonies at the end of the experiment there was 1 more hatched mummy than wasps, ""1 wasp missing"" was written."																		
####################																				
colony_ID	n_nymphs	female_origin	male_origin	date_sown	date_aphids_added	n_aphids_added	date_aphids_removed	n_aphids_removed	date_wasps_added	n_wasps_added	date_wasps_removed	n_females_removed	n_males_removed	female_status	male_status	female_location	n_offspring	n_mummies	n_mummies_unhatched	notes
472	53	197	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PT	8	12	3	NA
473	49	191	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	14	18	4	NA
474	44	240	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PT	9	14	4	NA
475	54	200	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PT	0	0	0	NA
476	36	202	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	23	25	3	NA
477	47	188	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	10	12	1	NA
478	38	141	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	1	0	a	NA	P	10	16	5	second_wasp_not_found
479	32	140	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	TT	0	0	0	NA
480	70	138	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PT	0	0	0	NA
481	25	135	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PT	7	11	3	NA
482	52	134	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	3	4	1	NA
483	52	136	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PT	2	3	1	NA
484	49	131	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	0	0	0	NA
485	46	130	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	TT	0	0	0	NA
486	44	128	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	NA	0	0	0	NA
487	46	127	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	0	0	0	NA
488	41	126	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PT	0	0	0	NA
489	38	125	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	0	0	0	NA
490	62	124	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PT	0	0	0	NA
491	53	123	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	14	23	6	NA
492	22	122	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	1	0	a	NA	T	0	0	0	second_wasp_not_found
493	39	118	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	TT	0	0	0	NA
494	39	177	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	TT	0	0	0	NA
495	51	174	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	13	15	1	1_wasp_missing
496	34	173	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	TT	0	0	0	NA
497	39	165	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	0	0	0	NA
498	66	164	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PT	12	16	4	NA
499	52	160	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	1	0	a	NA	P	22	25	3	second_wasp_not_found
500	35	158	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PT	0	0	0	NA
501	51	156	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	1	0	a	NA	P	5	6	1	second_wasp_not_found
502	37	155	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PT	4	6	2	NA
503	55	154	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	1	0	a	NA	P	24	26	4	second_wasp_not_found
504	62	151	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PT	6	8	2	NA
505	52	150	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	0	0	0	NA
506	60	149	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	3	1	0	other_mummies_may_be_covered_by_mold.
507	39	222	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	5	8	3	NA
508	48	221	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	0	0	0	NA
509	50	226	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PT	10	11	1	NA
510	56	223	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	0	0	0	NA
511	33	139	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	2	2	0	NA
512	58	207	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	4	8	4	NA
513	60	119	NA	13.03.2019	22.03.2019	4	24.03.2019	4	25.03.2019	2	26.03.2019	2	0	aa	NA	PP	1	1	0	NA
514	57	345	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PT	11	13	2	NA
515	65	346	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	22	26	6	2_hatched_mummies_missing
516	60	347	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	TT	0	0	0	NA
517	49	329	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	16	19	3	NA
518	56	267	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PT	0	0	0	NA
519	43	262	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	TT	0	0	0	NA
520	43	272	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	15	18	4	1_hatched_mummy_missing
521	21	223	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PT	0	0	0	NA
522	59	229	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	25	26	1	NA
523	58	218	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	14	21	7	NA
524	56	219	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PT	0	0	0	NA
525	59	274	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	1	2	1	NA
526	51	214	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	TT	0	0	0	NA
527	68	213	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	0	0	0	NA
528	34	230	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	0	0	0	NA
529	54	237	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	3	2	0	1_hatched_mummy_missing
530	71	232	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	0	0	0	NA
531	59	249	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PT	0	0	0	NA
532	63	253	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	23	33	10	NA
533	47	254	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	1	1	0	NA
534	75	245	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	3	3	0	NA
535	69	247	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	0	0	0	NA
536	62	244	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	13	19	6	NA
537	38	243	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	6	7	2	1_hatched_mummy_missing
538	51	129	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	0	0	0	NA
539	56	205	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	0	0	0	NA
540	65	175	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	17	21	4	NA
541	44	176	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PT	6	8	2	NA
542	75	199	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	1	0	a	NA	P	7	9	2	second_wasp_not_found
543	65	193	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	14	19	7	NA
544	47	192	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PT	0	1	1	NA
545	51	190	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	27	30	2	NA
546	48	185	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	19	19	1	NA
547	67	184	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	15	22	6	NA
548	54	182	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aD	NA	TT	0	0	0	NA
549	56	181	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	5	8	3	NA
550	58	179	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	10	10	0	NA
551	73	162	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	10	12	2	NA
552	55	170	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	17	20	3	NA
553	52	142	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PT	0	0	0	NA
554	48	189	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	0	0	0	NA
555	63	341	NA	13.03.2019	23.03.2019	4	25.03.2019	4	26.03.2019	2	27.03.2019	2	0	aa	NA	PP	15	19	3	NA
556	44	407	NA	14.03.2019	24.03.2019	4	26.03.2019	4	27.03.2019	2	28.03.2019	2	0	aa	NA	PT	4	4	0	NA
557	42	400	NA	14.03.2019	24.03.2019	4	26.03.2019	4	27.03.2019	2	28.03.2019	2	0	aa	NA	PP	11	11	1	NA
558	45	398	NA	14.03.2019	24.03.2019	4	26.03.2019	4	27.03.2019	2	28.03.2019	2	0	aa	NA	PP	16	16	0	NA
559	44	376	NA	14.03.2019	24.03.2019	4	26.03.2019	4	27.03.2019	2	28.03.2019	2	0	aa	NA	PP	4	8	4	NA
560	33	382	NA	14.03.2019	24.03.2019	4	26.03.2019	4	27.03.2019	2	28.03.2019	2	0	aa	NA	PP	17	20	3	NA
561	25	383	NA	14.03.2019	24.03.2019	4	26.03.2019	4	27.03.2019	2	28.03.2019	2	0	aa	NA	PP	10	14	4	NA
562	37	388	NA	14.03.2019	24.03.2019	4	26.03.2019	4	27.03.2019	2	28.03.2019	2	0	aa	NA	PP	5	5	2	NA
563	39	424	NA	14.03.2019	24.03.2019	4	26.03.2019	4	27.03.2019	2	28.03.2019	2	0	aa	NA	PP	2	2	0	NA
564	32	417	NA	14.03.2019	24.03.2019	4	26.03.2019	4	27.03.2019	2	28.03.2019	2	0	aa	NA	PT	7	10	4	NA
565	42	375	NA	14.03.2019	24.03.2019	4	26.03.2019	4	27.03.2019	2	28.03.2019	2	0	aa	NA	PP	13	14	1	NA
566	53	374	NA	14.03.2019	24.03.2019	4	26.03.2019	4	27.03.2019	2	28.03.2019	2	0	aa	NA	PT	8	13	5	NA
567	54	350	NA	14.03.2019	24.03.2019	4	26.03.2019	4	27.03.2019	2	28.03.2019	2	0	aa	NA	PP	11	17	7	NA
