####################																												
#	DATA INFO																											
#	MScThesis Gabriel Ulrich on genetic architecture of counteradaptation to symbiont-conferred resistance																											
#	Data sheet with information on colonies that were established to asses dominance relationships of the wasps counteradaptation. This sheet is about the first generation of wasps used in this experiment. Colonies consist of a plant with aphids on it to which Lysiphlebus wasps are added. Colonies were established by adding adult aphids to +/- 10 d old Vicia faba plants and leaving them on the plant for a few days (see dates in the data frame to reconstruct exact timing). After adult aphids were removed, a pair of wasps was added to the plant. Wasps were brought together in the tube ~30 minutes prior to adding them to the plant to facilitate mating. 																											
#	Version Nr. 06-03-2020.																											
####################																												
#	VARIBALE NAMES																											
#	colony_ID	colonies (i.e. plants with aphids) were numbered continuously after counting aphid nymphs. This number is their ID.																										
#	batch	the experiment was split in 2 batches, which were time-shifted by 2 days. This was done to infest colonies fast after emergence of wasps and reduce the risk of wasps dying before infesting colonies																										
#	treatment	this is the crossing scheme of the wasp pair that was released in the colony. R (resistant to defensive endosymbionts) refers to wasps originating from the strain evolved on Hamiltonella defensa (strain H76) infested aphid (Aphis fabae) clones. S (susceptible to defensive endosymbionts) refers to wasps  originating from the strain evolved on Hamiltonella defensa free aphid clones. Females are mentioned first and have two letters, as they are diploid. Males are second and have one letter as they are haploid. Example: if a resistant female is crossed with a susceptible male the treatment is RRxS																										
#	geno_female	"As in ""treatment"" but names only the genotype of the female i.e. either SS or RR"																										
#	geno_male	"As in ""treatment"" but names only the genotype of the male i.e. either S or R"																										
#	strain_female	"As in ""geno_female"" but here RR is encoded as H76 (Hamiltonella strain found in the aphid clones wasps were reared on) and SS is encoded as H- (referring to hamiltonella free aphids)"																										
#	strain_male	"As in ""geno_male"" but here R is encoded as H76 (Hamiltonella strain found in the aphid clones wasps were reared on) and S is encoded as H- (referring to hamiltonella free aphids)"																										
#	n_nymphs	number of nymphs counted prior to adding wasps to colonies																										
#	n_daughters	number of females that were found when counting offspring + those that were removed for establishing second generation colonies																										
#	n_sons	number of males that were found when counting offspring + those that were removed for establishing second generation colonies																										
#	n_mummies	number of mummies that were found when counting offspring																										
#	n_mummies_unhatched	number of mummies that were found when counting offspring but did not show any sign of hatching (if the wasp was inside but sticking an organ out of the mummy, it was counted as hatched)																										
#	n_mummies_removed	number of mummies that were removed before sealing the bag																										
#	date_sown	sowing date of the plant, the colony was grown on																										
#	date_aphids_added	date at which adult aphids were added to the colonies																										
#	n_aphids_added	number of adult aphids that were added to the colonies (this was always 4)																										
#	date_aphids_removed	date at which adult aphids were removed from the colonies																										
#	n_aphids_removed	number of adult aphids that were removed from the colonies (the aim was to remove 4 but sometimes not all released adults were found)																										
#	date_parasitoids_added	date at which parasitoids were added to the colonies (also corresponds to the date at which parasitoids were mated)																										
#	date_parasitoids_removed	date at which parasitoids were removed from the colonies																										
#	date_bag_sealed	date at which the bag with the colony was closed and let dry out for later counting of wasps																										
#	wasps_found	number of wasps that were found in (& removed from) the colonies																										
#	male_found	whether the male wasp was found in the tube (encoded as tube) or in the headspace of the plant (i.e. not in the tube encoded as plant). If the male was not found, this is not_found																										
#	male_status	whether the male wasp was alive or dead																										
#	female_found	whether thefemale wasp was found in the tube (encoded as tube) or in the headspace of the plant (i.e. not in the tube encoded as plant). If the female was not found, this is not_found																										
#	female_status	whether the female wasp was alive or dead																										
#	date_counting	date at which bags with dried wasps were counted																										
#	notes	additional comments on aphid colony establishment and wasp infestation at the time the wasps were removed																										
#	notes_II	additional comments on the colones at the time the bags were sealed for later counting of male and female wasps																										
####################																												
colony_ID	batch	treatment	geno_female	geno_male	strain_female	strain_male	n_nymphs	n_daughters	n_sons	n_mummies	n_mummies_unhatched	n_mummies_removed	date_sown	date_aphids_added	n_aphids_added	date_aphids_removed	n_aphids_removed	date_parasitoids_added	date_parasitoids_removed	date_bag_sealed	wasps_found	male_found	male_status	female_found	female_status	date_counting	notes	notes_2
1	1	RRxR	RR	R	H76	H76	52	30	7	40	1	0	NA	26.01.2019	4	28.01.2019	3	28.01.2019	29.01.2019	08.02.2019	2	tube	alive	plant	alive	18.02.2019	plants_from_heidi	>20_mummies
2	1	SSxS	SS	S	H-	H-	47	0	0	0	0	0	NA	26.01.2019	4	28.01.2019	3	28.01.2019	29.01.2019	08.02.2019	2	tube	alive	plant	alive	19.02.2019	plants_from_heidi	NA
3	1	SSxR	SS	R	H-	H76	52	0	0	0	0	0	NA	26.01.2019	4	28.01.2019	4	28.01.2019	29.01.2019	08.02.2019	2	tube	alive	plant	alive	19.02.2019	plants_from_heidi	fungi
4	1	SSxR	SS	R	H-	H76	63	0	0	0	0	0	NA	26.01.2019	4	28.01.2019	4	28.01.2019	29.01.2019	08.02.2019	2	tube	alive	tube	dead	19.02.2019	plants_from_heidi	NA
5	1	RRxS	RR	S	H76	H-	60	26	17	47	4	5	NA	26.01.2019	4	28.01.2019	4	28.01.2019	29.01.2019	08.02.2019	2	plant	alive	plant	alive	19.02.2019	plants_from_heidi	>20_mummies
6	1	SSxR	SS	R	H-	H76	46	0	0	0	0	0	NA	26.01.2019	4	28.01.2019	4	28.01.2019	29.01.2019	08.02.2019	2	tube	alive	plant	alive	19.02.2019	plants_from_heidi	fungi
7	1	RRxR	RR	R	H76	H76	53	11	39	53	1	0	NA	26.01.2019	4	28.01.2019	4	28.01.2019	29.01.2019	08.02.2019	2	tube	alive	plant	alive	19.02.2019	plants_from_heidi	>20_mummier
8	1	SSxS	SS	S	H-	H-	25	0	0	0	0	0	NA	26.01.2019	4	28.01.2019	3	28.01.2019	29.01.2019	08.02.2019	2	plant	alive	plant	alive	19.02.2019	plants_from_heidi	fungi
9	1	RRxS	RR	S	H76	H-	34	0	0	0	0	0	NA	26.01.2019	4	28.01.2019	4	28.01.2019	29.01.2019	08.02.2019	2	plant	alive	plant	alive	19.02.2019	plants_from_heidi	NA
10	1	SSxR	SS	R	H-	H76	50	0	0	0	0	0	NA	26.01.2019	4	28.01.2019	4	28.01.2019	29.01.2019	08.02.2019	2	plant	alive	plant	alive	19.02.2019	plants_from_heidi	fungi
11	1	RRxR	RR	R	H76	H76	31	21	9	33	1	0	NA	26.01.2019	4	28.01.2019	4	28.01.2019	29.01.2019	08.02.2019	2	tube	alive	plant	alive	19.02.2019	plants_from_heidi	>20_mummies
12	1	RRxS	RR	S	H76	H-	59	7	0	7	1	5	NA	26.01.2019	4	28.01.2019	3	28.01.2019	29.01.2019	08.02.2019	2	plant	alive	plant	alive	19.02.2019	plants_from_heidi	mummies_present
13	1	SSxR	SS	R	H-	H76	44	0	0	0	0	0	NA	26.01.2019	4	28.01.2019	4	28.01.2019	29.01.2019	08.02.2019	2	plant	alive	plant	alive	20.02.2019	plants_from_heidi	mummies_present
14	1	RRxS	RR	S	H76	H-	51	3	0	3	0	0	NA	26.01.2019	4	28.01.2019	4	28.01.2019	29.01.2019	08.02.2019	2	plant	alive	plant	alive	20.02.2019	plants_from_heidi	NA
15	1	RRxR	RR	R	H76	H76	61	11	4	23	5	0	NA	26.01.2019	4	28.01.2019	4	28.01.2019	29.01.2019	08.02.2019	2	tube	alive	plant	alive	20.02.2019	plants_from_heidi	mummies_present
16	1	SSxS	SS	S	H-	H-	56	0	0	0	0	0	NA	26.01.2019	4	28.01.2019	4	28.01.2019	29.01.2019	08.02.2019	2	tube	alive	plant	alive	20.02.2019	plants_from_heidi	NA
17	1	RRxR	RR	R	H76	H76	45	26	2	28	0	0	NA	26.01.2019	4	28.01.2019	3	28.01.2019	29.01.2019	08.02.2019	2	tube	alive	plant	alive	20.02.2019	plants_from_heidi	>20_mummies
