seqid	start	end	attributes	midpoint	LOD_closest
tig00000002	335385	336521	LF000298	335953	2.01990834045746
tig00000002	327278	330282	LF000296	328780	2.01990834045746
tig00000002	354899	368794	LF000299	361846.5	2.01990834045746
tig00000002	324605	325148	LF000294	324876.5	2.01990834045746
tig00000002	313777	315075	LF000292	314426	2.01990834045746
tig00000002	331699	334545	LF000297	333122	2.01990834045746
tig00000002	322627	323590	LF000293	323108.5	2.01990834045746
tig00000002	325458	327038	LF000295	326248	2.01990834045746
tig00000002	454690	466895	LF000302	460792.5	2.83401024529674
tig00000002	431362	435882	LF000300	433622	2.83401024529674
tig00000002	481182	482754	LF000305	481968	2.83401024529674
tig00000002	462307	468338	LF000303	465322.5	2.83401024529674
tig00000002	445256	445474	LF000301	445365	2.83401024529674
tig00000002	550172	553954	LF000309	552063	2.83401024529674
tig00000002	493435	499361	LF000307	496398	2.83401024529674
tig00000002	565406	567819	LF000310	566612.5	3.19680480344659
tig00000002	528117	544159	LF000308	536138	2.83401024529674
tig00000002	577235	577784	LF000314	577509.5	3.19680480344659
tig00000002	483213	492088	LF000306	487650.5	2.83401024529674
tig00000002	571119	571787	LF000312	571453	3.19680480344659
tig00000002	478251	481816	LF000304	480033.5	2.83401024529674
tig00000002	568774	570795	LF000311	569784.5	3.19680480344659
tig00000002	571832	572761	LF000313	572296.5	3.19680480344659
tig00000002	637848	639528	LF000315	638688	3.19680541239871
tig00000002	677102	689603	LF000317	683352.5	3.23848060347226
tig00000002	658600	663559	LF000316	661079.5	3.19680541239871
tig00000002	772574	775372	LF000327	773973	3.23848060347226
tig00000002	695641	697342	LF000318	696491.5	3.23848060347226
tig00000002	764303	768063	LF000324	766183	3.23848060347226
tig00000002	703523	715629	LF000320	709576	3.23848060347226
tig00000002	759705	762239	LF000323	760972	3.23848060347226
tig00000002	777442	780064	LF000328	778753	3.27452380457687
tig00000002	781517	784844	LF000329	783180.5	3.27452380457687
tig00000002	722060	731389	LF000321	726724.5	3.23848060347226
tig00000002	756268	758306	LF000322	757287	3.23848060347226
tig00000002	770543	771841	LF000326	771192	3.23848060347226
tig00000002	769410	770132	LF000325	769771	3.23848060347226
tig00000002	697530	701145	LF000319	699337.5	3.23848060347226
tig00000002	892831	907133	LF000330	899982	3.27452383489759
tig00000002	977821	980829	LF000331	979325	3.51683562219565
tig00000002	1059944	1068614	LF000340	1064279	3.51683562219565
tig00000002	1080942	1085845	LF000342	1083393.5	3.38292603960198
tig00000002	1057872	1059341	LF000339	1058606.5	3.51683562219565
tig00000002	1007248	1012980	LF000336	1010114	3.51683562219565
tig00000002	995571	996564	LF000335	996067.5	3.51683562219565
tig00000002	981463	983337	LF000332	982400	3.51683562219565
tig00000002	984822	987051	LF000333	985936.5	3.51683562219565
tig00000002	987162	988591	LF000334	987876.5	3.51683562219565
tig00000002	1072767	1079505	LF000341	1076136	3.38292603960198
tig00000002	1016336	1019167	LF000337	1017751.5	3.51683562219565
tig00000002	1056978	1057893	LF000338	1057435.5	3.51683562219565
tig00000002	1110177	1110900	LF000348	1110538.5	3.38292603960198
tig00000002	1096082	1097445	LF000345	1096763.5	3.38292603960198
tig00000002	1170271	1171999	LF000355	1171135	3.38239755717702
tig00000002	1178405	1181385	LF000358	1179895	3.38239755717702
tig00000002	1099861	1104211	LF000346	1102036	3.38292603960198
tig00000002	1144460	1146857	LF000353	1145658.5	3.3823975313994
tig00000002	1114720	1115672	LF000350	1115196	3.38292603960198
tig00000002	1184835	1186211	LF000360	1185523	3.4664161153971
tig00000002	1117809	1120365	LF000352	1119087	3.38292603960198
tig00000002	1106503	1109458	LF000347	1107980.5	3.38292603960198
tig00000002	1150202	1158315	LF000354	1154258.5	3.3823975313994
tig00000002	1182154	1183747	LF000359	1182950.5	3.4664161153971
tig00000002	1115720	1116726	LF000351	1116223	3.38292603960198
tig00000002	1090266	1095454	LF000344	1092860	3.38292603960198
tig00000002	1110987	1113183	LF000349	1112085	3.38292603960198
tig00000002	1172019	1174897	LF000356	1173458	3.38239755717702
tig00000002	1086312	1090258	LF000343	1088285	3.38292603960198
tig00000002	1175373	1177662	LF000357	1176517.5	3.38239755717702
tig00000002	1192635	1193663	LF000362	1193149	3.4664161153971
tig00000002	1195344	1198491	LF000363	1196917.5	3.4664161153971
tig00000002	1189407	1190735	LF000361	1190071	3.4664161153971
tig00000002	1217356	1218650	LF000368	1218003	3.4664161153971
tig00000002	1203877	1206293	LF000366	1205085	3.4664161153971
tig00000002	1273930	1286982	LF000377	1280456	3.17783283643638
tig00000002	1242020	1254725	LF000374	1248372.5	3.44606967575546
tig00000002	1226376	1228994	LF000371	1227685	3.4664161153971
tig00000002	1201055	1202876	LF000365	1201965.5	3.4664161153971
tig00000002	1200355	1200873	LF000364	1200614	3.4664161153971
tig00000002	1233949	1235742	LF000372	1234845.5	3.44606967575546
tig00000002	1287704	1289611	LF000378	1288657.5	3.34327359521997
tig00000002	1208022	1211970	LF000367	1209996	3.4664161153971
tig00000002	1222171	1224117	LF000370	1223144	3.4664161153971
tig00000002	1271742	1273446	LF000376	1272594	3.17783283643638
tig00000002	1236159	1240585	LF000373	1238372	3.44606967575546
tig00000002	1257429	1269135	LF000375	1263282	3.44606971803554
tig00000002	1218787	1220242	LF000369	1219514.5	3.4664161153971
tig00000002	1461575	1463744	LF000407	1462659.5	2.38696023477216
tig00000002	1444262	1446696	LF000402	1445479	2.38696023477216
tig00000002	1381419	1382342	LF000390	1381880.5	2.38696027607936
tig00000002	1371296	1372472	LF000386	1371884	2.38696027607936
tig00000002	1475925	1476777	LF000409	1476351	2.38696023477216
tig00000002	1291059	1297150	LF000379	1294104.5	3.34327359521997
tig00000002	1416108	1417858	LF000394	1416983	2.38696008821673
tig00000002	1330911	1334983	LF000382	1332947	3.34327358693243
tig00000002	1428606	1431065	LF000398	1429835.5	2.38696023477216
tig00000002	1477271	1481845	LF000410	1479558	2.38696023477216
tig00000002	1482934	1485867	LF000411	1484400.5	2.38696023477216
tig00000002	1431691	1433286	LF000399	1432488.5	2.38696023477216
tig00000002	1337724	1339463	LF000383	1338593.5	3.34327358693243
tig00000002	1298317	1301159	LF000380	1299738	3.34327359521997
tig00000002	1366343	1367799	LF000385	1367071	2.38696027607936
tig00000002	1439972	1443535	LF000401	1441753.5	2.38696023477216
tig00000002	1433993	1437532	LF000400	1435762.5	2.38696023477216
tig00000002	1302957	1315142	LF000381	1309049.5	3.34327358693243
tig00000002	1350324	1358235	LF000384	1354279.5	2.38696027607936
tig00000002	1413636	1416109	LF000393	1414872.5	2.38696008821673
