scaffold	position	linkage_group	mapping_pos
tig00000023	480684	1	0
tig00000023	538430	1	0.00000500000050000007
tig00000023	398798	1	1.13213900220308
tig00000023	329504	1	1.70115540865425
tig00000023	338219	1	1.70116040865475
tig00000023	341033	1	1.70116540865525
tig00000023	341050	1	1.70117040865575
tig00000023	355763	1	1.84364732938301
tig00000023	292559	1	1.98653479003836
tig00000023	292590	1	1.98653979003886
tig00000023	292604	1	1.98654479003936
tig00000023	292534	1	2.12903244611148
tig00000023	293050	1	2.12903744611198
tig00000023	309001	1	2.12904244611248
tig00000023	191992	1	3.14662983083258
tig00000023	192156	1	3.14663483083308
tig00000023	193198	1	3.14663983083358
tig00000023	192148	1	3.14664483083408
tig00000023	183523	1	3.43269999701232
tig00000023	183562	1	3.43270499701282
tig00000452	25947	1	7.11236416934241
tig00000452	26046	1	7.11236916934291
tig00000452	257945	1	7.54741865029371
tig00000452	257969	1	7.54742365029421
tig00000452	258397	1	7.54742865029471
tig00001849	67451	1	8.86814340181114
tig00001849	53979	1	8.86814840181164
tig00001849	67383	1	8.86815340181214
tig00001849	67193	1	8.86815840181264
tig00001849	56701	1	8.86816340181314
tig00001849	36711	1	8.86816840181364
tig00001851	284827	1	12.7596016381287
tig00001851	352962	1	12.8711927702841
tig00001851	352887	1	12.9489965845505
tig00001851	352888	1	12.949001584551
tig00001851	616766	1	18.0702001535934
tig00001851	566637	1	18.0702051535939
tig00001851	608262	1	18.0702101535944
tig00001851	608295	1	18.0702151535949
tig00001851	608333	1	18.0702201535954
tig00001851	616847	1	18.0702251535959
tig00001851	658247	1	18.3614442912937
tig00001851	658300	1	18.3614492912942
tig00001851	654894	1	18.3614542912947
tig00001851	693590	1	18.3614592912952
tig00001851	693610	1	18.3614642912957
tig00001851	693730	1	18.3614692912962
tig00001851	931900	1	20.4868049073918
tig00001851	968350	1	21.3797684157802
tig00001851	1010527	1	21.4972355845119
tig00001851	1253558	1	23.6213253212717
tig00001851	1260752	1	23.8182251817047
tig00000307	304229	1	24.0487173622807
tig00000307	232961	1	25.1576655363379
tig00000307	232865	1	25.1576705363384
tig00000307	232866	1	25.1576755363389
tig00000307	193298	1	25.302273493747
tig00000307	123864	1	26.2394618538499
tig00000307	48766	1	28.0215483562273
tig00000225	73612	1	31.6300671824273
tig00000225	212120	1	32.2724764819366
tig00000225	176415	1	32.2724814819371
tig00000173	426290	1	33.5400304376433
tig00000173	426293	1	33.5400354376438
tig00000219	13966	1	36.0104654108041
tig00000219	14062	1	36.0104704108046
tig00000219	31090	1	36.7811849291564
tig00000219	31828	1	36.9212081480648
tig00000219	47658	1	37.0496074570379
tig00000219	245235	1	38.3819816243224
tig00000219	245436	1	38.3819866243229
tig00000219	247257	1	38.3819916243234
tig00000322	127960	1	42.9666847027951
tig00000322	128311	1	42.9666897027956
tig00000322	119509	1	43.180571941136
tig00000322	119569	1	43.1805769411365
tig00000322	122359	1	43.180581941137
tig00000322	122780	1	43.1805869411375
tig00000322	249598	1	43.9035404091383
tig00000322	249623	1	43.9035454091388
tig00002120	51905	1	44.2810437261041
tig00002120	48326	1	44.2810487261046
tig00002120	23074	1	44.468811478413
tig00002120	21362	1	44.4688164784135
tig00002120	21398	1	44.468821478414
tig00002120	16711	1	44.6036209905754
tig00002120	16721	1	44.6036259905759
tig00002120	16825	1	44.6036309905764
tig00002118	218051	1	44.8901724914834
tig00002118	258562	1	44.8901774914839
tig00002118	258563	1	44.8901824914844
tig00002118	287293	1	44.8901874914849
tig00002118	287301	1	44.8901924914854
tig00002118	12974	1	47.0390676500974
tig00000490	335824	1	47.330847971151
tig00000490	340947	1	47.3308529711515
tig00000490	139983	1	48.92987410371
tig00000490	54780	1	50.2185486645486
tig00002267	35482	1	51.2396659772933
tig00002293	91089	1	51.2396709772938
tig00002293	91336	1	51.2396759772943
tig00002293	122612	1	51.2396809772948
tig00002293	91773	1	51.2396859772953
tig00002293	91909	1	51.2396909772958
tig00002293	102150	1	51.2396959772963
tig00001888	50148	1	51.2397009772968
tig00002293	94730	1	51.2397059772973
tig00002293	103385	1	51.2397109772978
tig00002293	103415	1	51.2397159772983
tig00002293	120328	1	51.2397209772988
tig00001890	62667	1	54.8062577970874
tig00001890	62735	1	54.8062627970879
tig00001890	165416	1	55.7896752808689
tig00001890	329912	1	57.3941299949632
tig00001890	330148	1	57.3941349949637
tig00000263	20088	1	57.5368734183193
tig00002043	238846	1	57.6798321107912
tig00002043	238635	1	57.6798371107917
tig00000235	85093	1	57.6798421107922
tig00000235	36187	1	57.6798471107927
tig00002043	217565	1	57.6798521107932
tig00002043	228123	1	57.6798571107937
tig00002043	228142	1	57.6798621107942
tig00000235	87750	1	57.6798671107947
tig00000235	87858	1	57.6798721107952
tig00000319	1822	1	57.6798771107957
tig00000319	1837	1	57.6798821107962
tig00002043	237400	1	57.6798871107967
tig00002043	237543	1	57.6798921107972
tig00002043	63867	1	58.4026544078931
tig00002043	64197	1	58.4026594078936
tig00002043	43018	1	58.6892474408709
tig00000613	37506	1	59.165931518369
tig00000613	37885	1	59.1659365183695
tig00000613	37978	1	59.16594151837
tig00001868	97623	1	60.2900291759832
tig00001862	87947	1	61.470852661408
tig00001862	89176	1	61.4708576614085
tig00000913	14844	1	63.412809089815
tig00000913	14870	1	63.4128140898155
tig00002528	75880	1	63.412819089816
tig00002528	76296	1	63.4128240898165
tig00002634	12697	1	64.5741576009139
tig00000881	51650	1	66.146951636449
tig00001892	208229	1	67.5508800952533
tig00001892	208578	1	67.5508850952538
tig00001892	179568	1	67.8316948462531
tig00001892	45581	1	68.6936247257906
tig00001856	290504	1	70.1978151048178
tig00001856	304044	1	70.1978201048183
tig00001856	355821	1	70.1978251048188
tig00001856	70453	1	71.0725919026204
tig00001852	304421	1	72.1387094418455
tig00001852	304552	1	72.138714441846
tig00001852	320244	1	72.1387194418465
tig00001854	21227	1	72.138724441847
tig00001852	304385	1	72.1387294418475
tig00001852	271644	1	72.5520621985088
tig00001852	102279	1	72.7535776299755
tig00001852	114824	1	72.753582629976
tig00001852	95018	1	73.8908351970527
tig00001852	95177	1	73.8908401970532
tig00001852	94990	1	73.8908451970537
tig00001852	47502	1	75.1376363450972
tig00001852	48592	1	75.1376413450977
tig00000389	258647	1	75.6083831130781
tig00000389	300207	1	75.6083881130786
tig00000389	256209	1	75.6083931130791
tig00000389	300451	1	75.6083981130796
tig00000389	195324	1	76.3310315989118
tig00000389	195385	1	76.3310365989123
tig00000389	195695	1	76.3310415989128
tig00000389	195426	1	76.3310465989133
tig00000389	47530	1	76.6339277416592
tig00000389	47778	1	76.6339327416597
tig00000389	40313	1	76.7911231183546
tig00001874	35233	1	76.935362086463
tig00001874	35276	1	76.9353670864635
tig00001875	35286	1	78.0515021663117
tig00001875	35498	1	78.0515071663122
tig00001875	186133	1	78.8439877085463
tig00001875	186159	1	78.8439927085468
tig00001875	391470	1	78.8439977085472
tig00001875	242973	1	78.8440027085477
tig00000125	18382	1	78.9606447181232
tig00001876	180423	1	80.4401286276262
tig00001878	82566	1	82.9324065098094
tig00001150	55817	1	86.4886633085066
tig00000721	71311	1	86.8881058876261
tig00002773	34246	1	86.8881108876266
tig00000461	49231	1	86.8881158876271
tig00002211	235705	1	87.8279629844412
tig00002211	235684	1	87.8279679844417
tig00002211	115131	1	88.9283328314257
tig00002211	115149	1	88.9283378314262
tig00002211	115257	1	88.9283428314267
tig00002211	32518	1	89.0715553756771
tig00002281	39765	1	89.2164244257803
tig00002211	3614	1	89.2164294257808
tig00002277	71477	1	89.7516483215999
tig00002277	71543	1	89.7516533216004
tig00002136	182253	1	90.1441971224158
tig00002136	182307	1	90.1442021224163
tig00002136	189486	1	90.1442071224168
tig00002136	189821	1	90.1442121224173
tig00000375	26456	1	93.0030943415005
tig00000375	26504	1	93.003099341501
tig00000375	26505	1	93.0031043415015
tig00000375	26576	1	93.003109341502
tig00000344	11208	1	93.0876668389417
tig00000689	172108	1	95.9931631793765
tig00000689	172515	1	95.993168179377
tig00000689	172052	1	96.1099316446127
tig00000689	129112	1	96.8536931622973
tig00000689	129132	1	96.8536981622978
tig00002098	102054	1	99.55932229478
tig00002098	102084	1	99.5593272947805
tig00002098	102297	1	99.559332294781
tig00002098	133093	1	99.5593372947815
tig00002098	133486	1	99.559342294782
tig00002098	45895	1	99.8458893259837
tig00002098	49032	1	99.8458943259842
tig00002098	49354	1	99.8458993259847
tig00002098	16908	1	100.422614004765
tig00002096	138402	1	101.149412895268
tig00002096	138429	1	101.149417895269
tig00002096	127987	1	101.259766674494
tig00002096	128008	1	101.259771674495
tig00002096	74559	1	101.545926382287
tig00002522	18398	1	102.102445752404
tig00000330	354698	1	102.233213464479
tig00002520	48978	1	102.233218464479
tig00000330	354706	1	102.23322346448
tig00002520	75761	1	102.23322846448
tig00002522	10419	1	102.233233464481
tig00002522	10430	1	102.233238464481
tig00002096	44039	1	102.233243464482
tig00002522	62577	1	102.233248464482
tig00000330	286718	1	102.519399693729
tig00000330	238636	1	102.845594926761
tig00000330	238656	1	102.845599926761
tig00000330	238687	1	102.845604926762
tig00000330	74177	1	103.671169441139
tig00000330	83718	1	103.67117444114
tig00000330	83693	1	103.67117944114
tig00000330	83698	1	103.671184441141
tig00000330	83699	1	103.671189441141
tig00000330	62617	1	104.094804871219
tig00001204	3163	1	105.112408728123
tig00000647	24452	1	106.831931983442
tig00000647	24578	1	106.831936983442
tig00000288	56042	1	109.208428905724
tig00000288	325508	1	110.597346041168
tig00000288	348787	1	111.17961776751
tig00000754	176261	1	111.911308634259
tig00002455	1514	1	112.174596423214
tig00002455	1536	1	112.174601423215
tig00000754	145603	1	112.441243054349
tig00000754	86254	1	112.666101014191
tig00000754	86264	1	112.666106014192
tig00000754	7897	1	113.715718189692
tig00001980	132683	1	114.709129238484
tig00001980	142899	1	115.086836824432
tig00001980	142854	1	115.086841824433
tig00001980	210585	1	116.223552841406
tig00001980	210681	1	116.223557841406
tig00001980	221448	1	116.335343967881
tig00001980	212066	1	116.340021923494
tig00001980	212173	1	116.340026923494
tig00001980	232334	1	116.51847969061
tig00001980	254911	1	116.656790682644
tig00001980	318707	1	117.27492936249
tig00001980	306272	1	117.274934362491
tig00001980	320347	1	117.418208975
tig00001980	320348	1	117.418213975001
tig00001980	320351	1	117.418218975001
tig00001980	320373	1	117.418223975002
tig00000014	4808	1	119.341674041457
tig00001982	208200	1	119.341679041457
tig00000014	97108	1	120.366489322199
tig00000019	7322	1	120.499020151455
tig00000019	7327	1	120.499025151456
tig00000014	208232	1	120.62418514989
tig00000014	479635	1	122.267112414883
tig00000014	479669	1	122.267117414883
tig00000014	486568	1	122.409821346855
tig00000014	486569	1	122.409826346856
tig00000014	493111	1	122.551291056602
tig00000014	559473	1	122.836975184484
tig00000014	575743	1	123.417475828324
tig00000014	575626	1	123.417480828324
tig00000014	575702	1	123.417485828325
tig00000014	575808	1	123.417490828325
tig00000014	597945	1	123.890553663549
tig00000014	699561	1	124.865583296102
tig00000014	705594	1	124.865588296102
tig00000014	705171	1	124.865593296103
tig00000014	879272	1	125.204788967955
tig00000014	936700	1	125.370645008777
tig00000014	936708	1	125.370650008777
tig00000014	1032236	1	126.175719726514
tig00000014	1032514	1	126.175724726515
tig00000014	1048164	1	126.610473047547
tig00000014	1048123	1	126.610478047548
tig00000014	1087307	1	126.888667367977
tig00000178	67297	1	128.019763929527
tig00000178	67334	1	128.019768929527
tig00000178	176945	1	128.648799418033
tig00000178	176992	1	128.648804418034
tig00000178	195006	1	128.910242168174
tig00000178	195007	1	128.910247168174
tig00000178	378114	1	131.581621978685
tig00000000	85113	1	132.171402019242
tig00000000	84651	1	132.171407019242
tig00000000	84673	1	132.171412019243
tig00000000	119039	1	132.785546037273
tig00000000	152940	1	132.94222789422
tig00000000	172038	1	132.94223289422
tig00000000	177824	1	133.262401876133
tig00000000	216643	1	134.090700584773
tig00000000	216652	1	134.090705584774
tig00000000	216659	1	134.090710584774
tig00000000	216663	1	134.090715584775
tig00000000	216665	1	134.090720584775
tig00000000	216672	1	134.090725584776
tig00000000	225549	1	134.233805040513
tig00000000	225565	1	134.233810040514
tig00000000	259200	1	134.619943720549
tig00000000	291690	1	134.808452314169
tig00000000	291757	1	134.80845731417
tig00000000	308085	1	134.80846231417
tig00000000	318435	1	134.95360402404
tig00000000	382882	1	135.269757908981
tig00000000	387402	1	135.269762908982
tig00000000	387456	1	135.269767908982
tig00000000	405347	1	135.652549959805
tig00000000	433856	1	135.797880483707
tig00000000	433929	1	135.797885483707
tig00000000	658668	1	138.444483696399
tig00000000	658748	1	138.4444886964
tig00000000	700040	1	138.797508522066
tig00000000	700391	1	138.797513522066
tig00000000	724894	1	139.150871200573
tig00000000	726995	1	139.150876200573
tig00000000	726999	1	139.150881200574
tig00000000	727001	1	139.150886200574
tig00000000	727006	1	139.150891200575
tig00000000	727366	1	139.150896200575
tig00000000	787682	1	140.742642477895
tig00000000	815285	1	141.337581630385
tig00000017	181266	1	142.991856580581
tig00000017	181359	1	142.991861580582
tig00000017	181362	1	142.991866580582
tig00000017	216515	1	143.611254858033
tig00000017	209791	1	143.611259858033
tig00000692	36616	1	146.813898410948
tig00000645	94305	1	148.392648301171
tig00000271	234315	1	151.289762362312
tig00000271	234340	1	151.289767362312
tig00000271	271962	1	151.289772362313
tig00000271	272043	1	151.289777362313
tig00000271	272029	1	151.289782362314
tig00000271	70878	1	153.074057850264
tig00000271	4833	1	153.21279141738
tig00000271	6939	1	153.212796417381
tig00000271	7114	1	153.212801417381
tig00000271	25106	1	153.354206502831
tig00000271	25029	1	153.354211502831
tig00000018	924064	2	0
tig00000018	899534	2	0.00000500000050000007
tig00000018	807644	2	0.137092016662442
tig00000018	821359	2	0.137097016662942
tig00000018	745917	2	0.714839416205681
tig00000018	745927	2	0.714844416206181
tig00000018	772335	2	0.714849416206681
tig00000018	773816	2	0.714854416207181
tig00000018	570049	2	1.29132322206876
tig00000018	608393	2	1.29132822206926
tig00000018	606642	2	1.29133322206976
tig00000018	606349	2	1.29133822207026
tig00000018	447790	2	2.30288034291943
tig00000018	404038	2	2.30288534291993
tig00000018	87249	2	7.62537301332671
tig00000018	27224	2	9.13794683832307
tig00000018	27163	2	9.13795183832356
tig00000002	311170	2	14.3418057082759
tig00000002	488526	2	17.0213460023681
tig00000002	617683	2	18.580639153487
tig00000002	618613	2	18.5806441534875
tig00000002	733770	2	19.3219675389559
tig00000002	822857	2	19.6077129668007
tig00000002	820014	2	19.6077179668012
tig00000002	820016	2	19.6077229668017
tig00000002	832835	2	19.6077279668022
tig00000002	1023356	2	21.7228524122598
tig00000002	1125150	2	23.2006510460834
tig00000002	1163357	2	23.3288476253945
tig00000002	1163393	2	23.328852625395
tig00000002	1198937	2	24.0574937245973
tig00000002	1262913	2	24.4870323224106
tig00000002	1262906	2	24.4870373224111
tig00000002	1273731	2	25.065451374772
tig00000002	1300405	2	25.4946465268096
tig00000002	1300475	2	25.4946515268101
tig00000002	1453257	2	27.4721725643528
tig00000002	1402650	2	27.4721775643533
tig00000002	1402992	2	27.4721825643538
tig00000002	1388174	2	27.4721875643543
tig00001871	837733	2	35.7381222096768
tig00001871	845268	2	35.7381272096773
tig00001871	824000	2	35.7381322096778
tig00002117	85991	2	37.1440791790519
tig00002117	86117	2	37.1440841790524
tig00002117	86118	2	37.1440891790529
tig00002117	206777	2	37.9203763874197
tig00002117	206850	2	37.9203813874202
tig00002117	207039	2	37.9203863874207
tig00002117	302900	2	38.8069990703665
tig00002117	361566	2	39.2161838300936
tig00000652	217911	2	41.1683190228582
tig00000652	217870	2	41.1683240228587
tig00000652	217933	2	41.1683290228592
tig00000652	217975	2	41.1683340228597
tig00000652	217976	2	41.1683390228602
tig00000652	217980	2	41.1683440228607
tig00000652	218147	2	41.1683490228612
tig00000652	218190	2	41.1683540228617
tig00002200	16355	2	43.2002517855657
tig00002198	29866	2	44.0555505220445
tig00001408	39704	2	45.401248684219
tig00000188	502026	2	45.5447252354792
tig00001408	40068	2	45.5447302354797
tig00000188	439227	2	47.3317483418442
tig00000188	186485	2	49.0508020478074
tig00000188	199581	2	49.0508070478079
tig00000188	257935	2	49.0508120478084
tig00000188	102562	2	49.815242320528
tig00000188	126199	2	49.8152473205284
tig00002051	26249	2	55.7383767982645
tig00002051	30643	2	55.738381798265
tig00002051	30739	2	55.7383867982655
tig00002051	30802	2	55.738391798266
tig00002051	30840	2	55.7383967982665
tig00002051	74127	2	55.738401798267
tig00002051	74131	2	55.7384067982675
tig00002051	101617	2	55.738411798268
tig00002051	26318	2	55.7384167982685
tig00000926	45718	2	55.738421798269
tig00002051	73807	2	55.9198713788184
tig00002051	74153	2	55.9198763788189
tig00002049	73268	2	56.6823279925619
tig00002049	80957	2	56.6823329925624
tig00002049	57888	2	56.6823379925629
tig00002049	84806	2	56.6823429925634
tig00002049	78319	2	56.6823479925639
tig00002049	78377	2	56.6823529925644
tig00002049	78452	2	56.6823579925649
tig00002049	95887	2	56.9579410200438
tig00002049	30147	2	57.7409831051278
tig00002049	9323	2	58.1239395710852
tig00002049	9511	2	58.1239445710857
tig00002049	9553	2	58.1239495710862
tig00002049	9547	2	58.252173676208
tig00001999	185722	2	59.2817454459818
